is_tested,gender,age,wage,region,date,type
No,Male,18-34,IDR 10-25 million,East Jakarta,2019-01-05,rapid
No,Male,18-34,more than IDR 25 million,North Jakarta,2019-01-05,rapid
No,Male,50+,less than IDR 3 million,Central Jakarta,2019-01-05,rapid
No,Male,31-50,IDR 10-25 million,West Jakarta,2019-01-05,rapid
No,Female,31-50,IDR 10-25 million,West Jakarta,2019-01-05,rapid
Yes,Female,31-50,less than IDR 3 million,South Jakarta,2019-01-05,rapid
No,Male,50+,IDR 3-5 million,South Jakarta,2019-01-05,rapid
No,Female,50+,more than IDR 25 million,East Jakarta,2019-01-05,rapid
No,Female,18-34,IDR 5-10 million,West Jakarta,2019-01-05,rapid
No,Female,31-50,IDR 3-5 million,South Jakarta,2019-01-05,rapid
No,Female,18-34,IDR 10-25 million,South Jakarta,2019-01-05,rapid
No,Female,18-34,IDR 10-25 million,West Jakarta,2019-01-05,rapid
Yes,Male,18-34,less than IDR 3 million,Central Jakarta,2019-01-05,rapid
No,Female,18-34,less than IDR 3 million,West Jakarta,2019-01-05,rapid
No,Female,31-50,more than IDR 25 million,South Jakarta,2019-01-06,rapid
No,Male,18-34,less than IDR 3 million,West Jakarta,2019-01-06,rapid
Yes,Female,31-50,less than IDR 3 million,Central Jakarta,2019-01-06,rapid
No,Male,50+,IDR 3-5 million,South Jakarta,2019-01-06,rapid
Yes,Male,18-34,IDR 5-10 million,Central Jakarta,2019-01-06,rapid
No,Male,18-34,IDR 3-5 million,South Jakarta,2019-01-06,rapid
Yes,Female,18-34,IDR 10-25 million,East Jakarta,2019-01-06,rapid
Yes,Female,50+,IDR 3-5 million,West Jakarta,2019-01-06,rapid
No,Female,31-50,IDR 5-10 million,West Jakarta,2019-01-06,rapid
Yes,Male,50+,more than IDR 25 million,North Jakarta,2019-01-06,rapid
No,Male,18-34,IDR 10-25 million,North Jakarta,2019-01-06,rapid
No,Female,18-34,IDR 3-5 million,South Jakarta,2019-01-06,rapid
Yes,Female,18-34,IDR 10-25 million,Central Jakarta,2019-01-06,rapid
No,Male,50+,IDR 5-10 million,West Jakarta,2019-02-05,rapid
No,Female,31-50,more than IDR 25 million,West Jakarta,2019-02-05,rapid
No,Male,18-34,more than IDR 25 million,East Jakarta,2019-02-05,rapid
Yes,Female,50+,less than IDR 3 million,West Jakarta,2019-02-05,rapid
No,Male,18-34,IDR 3-5 million,South Jakarta,2019-02-05,rapid
No,Male,18-34,less than IDR 3 million,West Jakarta,2019-02-05,rapid
Yes,Female,31-50,IDR 3-5 million,West Jakarta,2019-02-05,rapid
No,Female,18-34,IDR 5-10 million,West Jakarta,2019-02-05,rapid
No,Male,50+,less than IDR 3 million,North Jakarta,2019-02-05,rapid
Yes,Male,50+,less than IDR 3 million,South Jakarta,2019-02-05,rapid
No,Male,18-34,IDR 10-25 million,West Jakarta,2019-02-05,rapid
Yes,Male,31-50,more than IDR 25 million,South Jakarta,2019-02-05,rapid
Yes,Male,18-34,IDR 5-10 million,West Jakarta,2019-02-05,rapid
Yes,Male,18-34,IDR 3-5 million,North Jakarta,2019-02-05,rapid
Yes,Female,50+,less than IDR 3 million,East Jakarta,2019-02-05,rapid
No,Male,18-34,less than IDR 3 million,South Jakarta,2019-02-05,rapid
No,Female,18-34,less than IDR 3 million,Central Jakarta,2019-02-05,rapid
Yes,Male,18-34,more than IDR 25 million,Central Jakarta,2019-02-05,rapid
Yes,Male,18-34,IDR 5-10 million,Central Jakarta,2019-02-05,rapid
No,Female,18-34,more than IDR 25 million,Central Jakarta,2019-02-05,rapid
Yes,Female,18-34,less than IDR 3 million,North Jakarta,2019-02-05,rapid
Yes,Male,50+,IDR 10-25 million,South Jakarta,2019-02-05,rapid
Yes,Male,50+,less than IDR 3 million,Central Jakarta,2019-02-05,rapid
Yes,Male,18-34,less than IDR 3 million,West Jakarta,2019-02-05,rapid
No,Male,31-50,less than IDR 3 million,East Jakarta,2019-02-06,rapid
No,Male,18-34,IDR 10-25 million,East Jakarta,2019-02-06,rapid
Yes,Male,50+,IDR 10-25 million,East Jakarta,2019-02-06,rapid
Yes,Female,18-34,IDR 3-5 million,Central Jakarta,2019-02-06,rapid
Yes,Male,18-34,IDR 3-5 million,West Jakarta,2019-02-06,rapid
Yes,Female,18-34,less than IDR 3 million,South Jakarta,2019-02-06,rapid
Yes,Female,50+,IDR 3-5 million,East Jakarta,2019-02-06,rapid
No,Female,50+,less than IDR 3 million,South Jakarta,2019-02-06,rapid
Yes,Male,50+,IDR 3-5 million,Central Jakarta,2019-02-06,rapid
Yes,Male,31-50,IDR 10-25 million,South Jakarta,2019-03-05,rapid
Yes,Female,18-34,IDR 10-25 million,East Jakarta,2019-03-05,rapid
Yes,Male,18-34,IDR 3-5 million,West Jakarta,2019-03-05,rapid
Yes,Female,50+,IDR 10-25 million,North Jakarta,2019-03-05,rapid
No,Female,18-34,IDR 10-25 million,East Jakarta,2019-03-05,rapid
No,Female,18-34,IDR 3-5 million,North Jakarta,2019-03-05,rapid
No,Female,50+,IDR 10-25 million,East Jakarta,2019-03-05,rapid
No,Female,31-50,IDR 10-25 million,North Jakarta,2019-03-05,rapid
No,Male,50+,IDR 3-5 million,West Jakarta,2019-03-05,rapid
No,Female,18-34,more than IDR 25 million,North Jakarta,2019-03-05,rapid
Yes,Female,50+,IDR 5-10 million,East Jakarta,2019-03-05,rapid
No,Male,18-34,less than IDR 3 million,South Jakarta,2019-03-05,rapid
No,Male,31-50,less than IDR 3 million,Central Jakarta,2019-03-05,rapid
No,Female,18-34,IDR 5-10 million,East Jakarta,2019-03-05,rapid
No,Female,18-34,more than IDR 25 million,West Jakarta,2019-03-05,rapid
No,Male,31-50,more than IDR 25 million,North Jakarta,2019-03-06,rapid
Yes,Female,50+,IDR 3-5 million,East Jakarta,2019-03-06,rapid
No,Male,31-50,more than IDR 25 million,East Jakarta,2019-03-06,rapid
Yes,Male,50+,IDR 3-5 million,North Jakarta,2019-03-06,rapid
No,Female,50+,less than IDR 3 million,East Jakarta,2019-03-06,rapid
Yes,Female,18-34,IDR 5-10 million,East Jakarta,2019-03-06,rapid
Yes,Male,18-34,more than IDR 25 million,Central Jakarta,2019-03-06,rapid
No,Female,31-50,IDR 3-5 million,West Jakarta,2019-03-06,rapid
No,Female,18-34,less than IDR 3 million,South Jakarta,2019-03-06,rapid
Yes,Male,18-34,IDR 5-10 million,South Jakarta,2019-03-06,rapid
Yes,Female,18-34,more than IDR 25 million,West Jakarta,2019-03-06,rapid
Yes,Male,31-50,more than IDR 25 million,Central Jakarta,2019-03-06,rapid
No,Female,18-34,less than IDR 3 million,West Jakarta,2019-03-06,rapid
Yes,Male,50+,IDR 10-25 million,South Jakarta,2019-03-06,rapid
No,Male,18-34,more than IDR 25 million,East Jakarta,2019-03-06,rapid
No,Female,18-34,less than IDR 3 million,North Jakarta,2019-03-06,rapid
Yes,Female,50+,IDR 5-10 million,Central Jakarta,2019-03-06,rapid
No,Female,31-50,less than IDR 3 million,South Jakarta,2019-03-06,rapid
Yes,Male,31-50,more than IDR 25 million,West Jakarta,2019-04-05,rapid
Yes,Female,18-34,more than IDR 25 million,West Jakarta,2019-04-05,rapid
Yes,Female,18-34,more than IDR 25 million,Central Jakarta,2019-04-05,rapid
Yes,Female,18-34,IDR 3-5 million,South Jakarta,2019-04-05,rapid
No,Female,18-34,IDR 10-25 million,Central Jakarta,2019-04-05,rapid
No,Male,18-34,IDR 3-5 million,West Jakarta,2019-04-05,rapid
Yes,Male,50+,more than IDR 25 million,East Jakarta,2019-04-05,rapid
No,Female,50+,IDR 3-5 million,North Jakarta,2019-04-05,rapid
Yes,Male,31-50,IDR 3-5 million,East Jakarta,2019-04-05,rapid
No,Female,50+,IDR 5-10 million,East Jakarta,2019-04-05,rapid
No,Female,31-50,IDR 5-10 million,West Jakarta,2019-04-05,rapid
Yes,Female,31-50,IDR 10-25 million,South Jakarta,2019-04-05,rapid
Yes,Female,31-50,more than IDR 25 million,West Jakarta,2019-04-05,rapid
Yes,Female,50+,more than IDR 25 million,East Jakarta,2019-04-05,rapid
No,Male,31-50,IDR 5-10 million,North Jakarta,2019-04-05,rapid
No,Male,50+,IDR 3-5 million,West Jakarta,2019-04-05,rapid
